Year,IT Bond Price,S&P 500 Price,S&P 500 Dividend,CPI,Bond Real Price,S&P Price Real,S&P Dividend Real,S&P Yield Real,Bond %,S&P %
1871-01-01,50.26458,4.44,0.26,12.46,970.780411835019,85.7515320471999,5.02148611087207,0.0048798799,,
1871-02-01,50.47778,4.50,0.26,12.84,946.012215726174,84.3352276651973,4.87270204287806,0.0048148148,-0.0255136958,-0.0117015593
1871-03-01,50.69705,4.61,0.26,13.03,936.248463141149,85.1352303260431,4.80155312034083,0.0046999277,-0.0103209583,0.0141859122
1871-04-01,50.92248,4.74,0.26,12.56,976.034464865569,90.8518844327391,4.98343669884223,0.0045710267,0.0424951317,0.0717189523
1871-05-01,51.15413,4.86,0.26,12.27,1003.27444580625,95.3180846331015,5.09932140012477,0.0044581619,0.0279088310,0.0536172985
1871-06-01,51.39208,4.82,0.26,12.08,1023.81767184534,96.0226006860296,5.1796423606572,0.0044951591,0.0204761779,0.0118863698
1871-07-01,51.63640,4.73,0.26,12.08,1028.68503804239,94.2296475611868,5.1796423606572,0.0045806906,0.0047541338,-0.0140915085
1871-08-01,51.88719,4.79,0.26,11.89,1050.21624738505,96.9514109512744,5.26249829798149,0.0045233125,0.0209308083,0.0334076759
1871-09-01,52.14450,4.84,0.26,12.18,1030.68987034638,95.6675900763578,5.13916806195311,0.0044765840,-0.0185927204,-0.0087653158
1871-10-01,52.40844,4.59,0.26,12.37,1019.97333172214,89.3305980269361,5.06012102113364,0.0047204067,-0.0103974425,-0.0615192890
1871-11-01,52.67909,4.64,0.26,12.37,1025.24070133311,90.3036982233079,5.06012102113364,0.0046695402,0.0051642229,0.0155627864
1871-12-01,52.95654,4.74,0.26,12.65,1007.38808766397,90.168647647698,4.94595957561213,0.0045710267,-0.0174130949,0.0030755113
1872-01-01,53.24088,4.86,0.26,12.65,1012.79700865341,92.4513982210575,5.00873521637951,0.0045147462,0.0053692525,0.0298312019
1872-02-01,53.56696,4.88,0.27,12.65,1019.00006935544,92.8318566499507,5.07341314929136,0.0045543033,0.0061246831,0.0086695296
1872-03-01,53.89706,5.04,0.27,12.84,1010.09346978111,94.4554549850209,5.06011365991184,0.0044642857,-0.0087405289,0.0219539535
1872-04-01,54.23122,5.18,0.27,13.13,994.256844945017,94.9683702429007,5.01058988173451,0.0043967181,-0.0156783756,0.0098269525
