,NAV,Change
1969-07-31,4364.85784963621,0.005400592927104827
1969-08-31,4388.430670066773,0.0036917587586890246
1969-09-30,4404.631697429892,0.003708620319196129
1969-10-31,4420.966804041555,0.003725492171542233
1969-11-30,4437.43708126066,-0.0007683399526929419
1969-12-31,4434.027621063567,0.004956189067754994
1970-01-31,4456.0035002852055,0.0043911887811118695
1970-02-28,4475.570652864253,-0.0001041239886175244
1970-03-31,4475.104638596537,-0.043534124272882016
1970-04-30,4280.284877125725,0.010775251389958334
1970-05-31,4326.406022697392,0.005136280059877282
1970-06-30,4348.627655682705,0.004036168907609303
1970-07-31,4366.179451417342,0.006834966377524337
1970-08-31,4396.022141166017,0.0057086854062750984
1970-09-30,4421.1176486089535,0.005154672700198102
1970-10-31,4443.907063056602,0.00849322215844517
1970-11-30,4481.650152994625,0.006786540958423653
1970-12-31,4512.065055319249,0.0034463151707961348
1971-01-31,4527.615053571015,0.005693622620688455
1971-02-28,4553.393585057796,0.006247686747403524
1971-03-31,4581.841761814874,0.005132659162437042
1971-04-30,4605.35879391449,0.007355793620988037
1971-05-31,4639.234862753127,0.005117046620474076
1971-06-30,4662.974043829164,0.006785337940879502
1971-07-31,4694.613898526094,0.00510966539663161
1971-08-31,4718.601804713939,0.007884912598056404
1971-09-30,4755.807567529139,0.016778753366010552
1971-10-31,4835.604089760917,0.016653115233127524
1971-11-30,4916.131961889489,0.01822495281063993
1971-12-31,5005.728234905803,0.019709322496123918
1972-01-31,5104.387747015515,0.019116367842287724
1972-02-29,5201.96510079713,0.0033054594553964707
1972-03-31,5219.159985526202,0.008151530278389846
1972-04-30,5261.70412617598,0.004194496458560407
1972-05-31,5283.774325499217,0.003040882826718454
1972-06-30,5299.841664105884,0.01533552350187391
1972-07-31,5381.11751050199,0.005598676575143246
1972-08-31,5411.244647056131,0.005576498319729567
1972-09-30,5441.420443738085,0.002447406319962902
1972-10-31,5454.737810521665,0.005283571518234557
1972-11-30,5483.558307856774,0.0007177715376659568
1972-12-31,5487.494249935286,0.012083444181520095
1973-01-31,5553.802080400791,0.0009763411007226566
1973-02-28,5559.224485637165,0.0012925145592442085
1973-03-31,5566.409864222958,-0.015080996400308794
1973-04-30,5482.4628570979685,-0.0003841388096410458
1973-05-31,5480.356830342142,-0.02270050194664808
1973-06-30,5355.949979446634,0.004593930863240459
1973-07-31,5380.554843359186,0.006555025053352001
1973-08-31,5415.82451515834,-0.08486493873089146
1973-09-30,4956.210899502167,0.008038101129213913
1973-10-31,4996.049423930078,0.00695440508716619
1973-11-30,5030.793975459591,0.006696873852933978
1973-12-31,5064.484568093344,0.006967326220319669
1974-01-31,5099.770484217025,0.006691754673879107
1974-02-28,5133.896897190495,0.006707325421957894
1974-03-31,5168.331614362732,0.006719651622901939
1974-04-30,5203.06100228288,-0.004357606008054488
1974-05-31,5180.388112399058,-0.05409782756260337
1974-06-30,4900.140369587133,0.008513493699594461
1974-07-31,4941.857683750742,0.007188922365510276
1974-08-31,4977.384314980626,0.0074524339725022485
1974-09-30,5014.477942943788,0.019569399886357884
1974-10-31,5112.608267030576,0.009737316908348455
1974-11-30,5162.391353954895,0.01542463109399121
1974-12-31,5242.019336152459,0.016422483132151534
1975-01-31,5328.106310278835,0.0035555938689578854
1975-02-28,5347.050892408818,0.00801932651595285
1975-03-31,5389.9306394124615,0.007219022930281986
1975-04-30,5428.8406722910095,0.008278951508842414
1975-05-31,5473.785780966138,0.007750439899362312
1975-06-30,5516.2100286835,-0.013969683361766759
1975-07-31,5439.150321225789,0.008204117309666978
1975-08-31,5483.773748526039,0.007681496366147573
1975-09-30,5525.897336648117,0.009497465881951583
1975-10-31,5578.379358070099,0.008209684493665076
1975-11-30,5624.176092585829,0.008986887017506896
1975-12-31,5674.719927696461,0.007195958133311804
1976-01-31,5715.554974714435,0.009769143023970313
1976-02-29,5771.391048723785,0.00769718284126116
1976-03-31,5815.81450087423,0.008461278882011512
1976-04-30,5865.023729292174,0.008470548257973819
1976-05-31,5914.703695825305,0.008980199279244478
1976-06-30,5967.8189136915,0.007956579367804745
1976-07-31,6015.3023385309725,0.008981422006687764
1976-08-31,6069.328307331135,0.008466506334218301
1976-09-30,6120.714313889604,0.008719002356742337
1976-10-31,6174.0808364173545,-0.00040800860556424546
1976-11-30,6171.561758304647,-0.013524142925736782
1976-12-31,6088.096675010323,0.008684259362820971
1977-01-31,6140.967285562041,0.008925374362487264
1977-02-28,6195.7777175334695,0.008678143831380426
1977-03-31,6249.545567713487,0.008428480991416014
1977-04-30,6302.219743735948,0.008428706605404224
1977-05-31,6355.339304918684,0.008939608714578776
1977-06-30,6412.15355155304,0.008693589375303196
1977-07-31,6467.898181541635,0.0089442862107569
1977-08-31,6525.748914059377,0.01871307196468691
1977-09-30,6647.865723111648,0.017532151354146038
1977-10-31,6764.417111151281,0.016926201221172655
1977-11-30,6878.912996318571,0.0210724802372526
1977-12-31,7023.868754487274,0.016000413285315346
1978-01-31,7136.253557420883,0.017704489213825746
1978-02-28,7262.597281555367,0.007944789471480175
1978-03-31,7320.2970879734685,0.00820938060093644
1978-04-30,7380.392192880569,0.009445836411652236
1978-05-31,7450.106170188355,0.007581407585978792
1978-06-30,7506.588461623368,0.007582266732224513
1978-07-31,7563.505417588435,0.012660645409241748
1978-08-31,7659.264277731401,0.007250682163061346
1978-09-30,7714.799168612121,0.01385390922295061
1978-10-31,7821.6792959673685,0.01124171632468948
1978-11-30,7909.608395795331,0.0073384182906343085
1978-12-31,7967.65241071879,0.004804476698456706
1979-01-31,8005.932811067491,6.377606689784155e-05
1979-02-28,8006.443397974029,-0.008488530776191695
1979-03-31,7938.4804567824895,-0.008814029284725198
1979-04-30,7868.51045756019,0.005547322526812763
1979-05-31,7912.159622873875,-0.006703721544599687
1979-06-30,7859.118707945704,0.006602548491630981
1979-07-31,7911.0089203164,0.008401912366798419
1979-08-31,7977.476523997859,0.008154644521541752
1979-09-30,8042.530009230006,0.008648370964016864
1979-10-31,8112.084792239065,0.00815825170808757
1979-11-30,8178.2652218515,0.007919789199471327
1979-12-31,8243.035358425932,-0.010329153154217558
1980-01-31,8157.89178375312,-0.005402245465099869
1980-02-29,8113.820849859564,-0.01400306807865581
1980-03-31,8000.202464120964,-0.009131371169208445
1980-04-30,7927.149645992259,0.00022183619256557587
1980-05-31,7928.908174687624,0.010722115465661443
1980-06-30,8013.922843653251,0.009285493308989274
1980-07-31,8088.33607059675,0.008838769873244895
1980-08-31,8159.82701178222,0.010521344408365425
1980-09-30,8245.679362085864,0.004819763067727307
1980-10-31,8285.421582943567,-0.014756877728265365
1980-11-30,8163.154629716938,-0.0008746423770369359
1980-12-31,8156.014788747482,-0.009738225644367717
1981-01-31,8076.589676375859,0.010850370354641144
1981-02-28,8164.2236655670085,0.010851604662398838
1981-03-31,8252.818593161142,0.010852834381824519
1981-04-30,8342.385066535962,0.010854058594205695
1981-05-31,8432.93380286357,0.010855278552006917
1981-06-30,8524.47564830429,-0.02163308508753505
1981-07-31,8340.064941277902,-0.03976940032173186
1981-08-31,8008.38555991898,0.012392259916632483
1981-09-30,8107.6275552901025,0.012394202447226799
1981-10-31,8208.115132577082,0.012396137603640563
1981-11-30,8309.864057227032,0.014602833617877538
1981-12-31,8431.2116194419,0.010230236719622273
1982-01-31,8517.46491014202,0.008010193299051623
1982-02-28,8585.691450490147,0.009206527432956212
1982-03-31,8664.735854359982,0.009246767360641174
1982-04-30,8744.856651046655,-0.03595856157432729
1982-05-31,8430.404184701329,0.013537012752439369
1982-06-30,8544.526673657849,0.013539658074130856
1982-07-31,8660.216643224467,0.007208698807505025
1982-08-31,8722.645536613214,0.07331553171474033
1982-09-30,9362.150932089218,0.04146132901268929
1982-10-31,9750.318152151025,0.009858346113282832
1982-11-30,9846.440163209554,0.03899752877019463
1982-12-31,10230.426996758319,0.06677630898012928
1983-01-31,10913.577150892508,-0.02007176951686015
1983-02-28,10694.522345715322,-0.027748286787532547
1983-03-31,10397.767672610738,0.03847986100056208
1983-04-30,10797.872327368937,0.05096726273709386
1983-05-31,11348.210323279545,-0.05581471198560466
1983-06-30,10714.813232533632,0.010044782165837547
1983-07-31,10822.441197402066,0.012509868318539865
1983-08-31,10957.828511666707,0.044488528412993736
1983-09-30,11445.326176752704,0.05504303903217619
1983-10-31,12075.31171223569,0.026066162084733294
1983-11-30,12390.068744550505,-0.014982156767233688
1983-12-31,12204.438792262847,0.009241706640557882
1984-01-31,12317.228635293584,-0.005362409201068242
1984-02-29,12251.178615128025,0.007425925733693981
1984-03-31,12342.154957674185,0.02193517541101148
1984-04-30,12612.882291620654,0.0018325195317138072
1984-05-31,12635.995644771256,0.026609746403078397
1984-06-30,12972.236284429022,0.029967630218008367
1984-07-31,13360.983464501422,0.03249214519228998
1984-08-31,13795.110479141787,-0.005810562983344207
1984-09-30,13714.953120840542,0.003338719785814087
1984-10-31,13760.743506186605,0.0066986874131816495
1984-11-30,13852.922425507519,0.0055108119949279
1984-12-31,13929.263276574811,0.0225188137372782
1985-01-31,14242.933761797509,-0.013236994658999692
1985-02-28,14054.400123664109,0.0049472502869953505
1985-03-31,14123.930758709454,0.0039080338717657455
1985-04-30,14179.127558516964,0.019331813472924196
1985-05-31,14453.235807687013,0.023766687581489126
1985-06-30,14796.741347669902,0.01463851873531927
1985-07-31,15013.343723109441,-0.015828451446142523
1985-08-31,14775.705740943955,0.01711475318901979
1985-09-30,15028.588297893793,-0.022620245947924764
1985-10-31,14688.637934345332,-0.00810787528277583
1985-11-30,14569.54428989981,0.016848734615448172
1985-12-31,14815.02267510835,0.048338518548294254
1986-01-31,15531.158923482475,0.029272192929253735
1986-02-28,15985.790003905555,0.05895834992180264
1986-03-31,16928.285804732273,0.029571760038363395
1986-04-30,17428.88501041065,-0.0043997554348386625
1986-05-31,17352.202178862917,0.00047569515891954136
1986-06-30,17360.456537435995,-0.0485941807066357
1986-07-31,16516.839375306135,0.00978862709037751
1986-08-31,16678.51655666267,0.020409283156368307
1986-09-30,17018.913123695776,0.02881789644705263
1986-10-31,17509.362399735826,0.009156965868306593
1986-11-30,17669.695033606018,0.01791133372177183
1986-12-31,17986.18283811487,-0.015520404467034505
1987-01-31,17707.030005649292,0.009985202738092088
1987-02-28,17883.83829014518,0.03903698106200896
1987-03-31,18581.96934679361,0.0277954823743457
1987-04-30,19098.464148253042,0.012994105481799799
1987-05-31,19346.631605935814,0.022897497917730915
1987-06-30,19789.621062847837,0.009329537598097338
1987-07-31,19974.249076605774,0.015112280250650059
1987-08-31,20276.10552644773,0.040121784474009596
1987-09-30,21089.61906235214,-0.04549089153824999
1987-10-31,20130.23348900367,0.03249480512639136
1987-11-30,20784.3615033776,0.035943342243063524
1987-12-31,21531.420922197056,0.02695249337197054
1988-01-31,22111.74640189168,0.012836110369672967
1988-02-29,22395.57521917258,0.028765980428453575
1988-03-31,23039.80589761126,0.025231348947002394
1988-04-30,23621.131279885092,-0.03459961719413474
1988-05-31,22803.849179908666,0.02959721477746261
1988-06-30,23478.779601839287,0.0077985563269633625
1988-07-31,23661.88018705259,0.008067316003708068
1988-08-31,23852.76805176342,-0.0003319188634777279
1988-09-30,23844.850868100883,0.008823586880158243
1988-10-31,24055.247981379987,-0.008346332796118378
1988-11-30,23854.474876234235,-0.0133036811948266
1988-12-31,23537.122547410814,-0.009002754733533552
1989-01-31,23325.223605983352,-0.0033791997855742778
1989-02-28,23246.40301537554,0.012262202792553495
1989-03-31,23531.455123347503,0.017994473968389855
1989-04-30,23954.891280002914,-0.008701344759352435
1989-05-31,23746.451512302803,0.030197644098326735
1989-06-30,24463.538403669496,0.018797851979176144
1989-07-31,24923.400377468566,0.02672231911380636
1989-08-31,25589.411435756443,-0.023006318527411737
1989-09-30,25000.693285336438,0.014488274655770541
1989-10-31,25362.91019623907,0.03551396697457293
1989-11-30,26263.647751327364,0.024030126727559612
1989-12-31,26894.766535119747,0.017273066174796486
1990-01-31,27359.321617236572,-0.01255762038822448
1990-02-28,27015.75364228797,0.006260912995263866
1990-03-31,27184.89692534382,-0.004434180878184442
1990-04-30,27064.354175222044,0.022252954505386082
1990-05-31,27666.616017400916,0.018375614455134928
1990-06-30,28175.007086614936,0.022873783333975627
1990-07-31,28819.476094147394,0.005491761986776085
1990-08-31,28977.745797440035,0.013268497151412146
1990-09-30,29362.236935007713,0.02666009775110039
1990-10-31,30145.03704188599,0.04686569232219229
1990-11-30,31557.805072932108,0.022156904720336518
1990-12-31,32257.028353116017,0.032065228482068116
1991-01-31,33291.35733741123,0.015619438988287746
1991-02-28,33811.34966218021,0.013522469222530316
1991-03-31,34268.562597359254,0.028798602550950965
1991-04-30,35255.44931159299,0.021660419018840728
1991-05-31,36019.09711637959,-0.011769493342801874
1991-06-30,35595.17059265463,0.01872943342915451
1991-07-31,36261.84797066915,0.021851105204900634
1991-08-31,37054.209425600355,0.03196608928662478
1991-09-30,38238.68759254439,0.046352707548304145
1991-10-31,40011.154295552566,0.00901869324287722
1991-11-30,40372.00262243758,0.03652606873297919
1991-12-31,41846.633165112755,-0.03694315717228493
1992-01-31,40300.68641896304,0.010400662173400613
1992-02-29,40719.84024376283,0.01231244795258071
1992-03-31,41221.20115740156,0.03779122808194847
1992-04-30,42779.000972152804,0.02344354445528693
1992-05-31,43781.89238319623,0.027583881006838184
1992-06-30,44989.56689294851,0.0428994864882597
1992-07-31,46919.59620998521,-0.041717515604567726
1992-08-31,44962.22722293514,0.01054739737566527
1992-09-30,45436.46170035039,0.01050293124269285
1992-10-31,45913.677733500415,-0.0038472375181329873
1992-11-30,45737.036909928625,0.018906437214909397
1992-12-31,46601.761326662185,0.022407847738122353
1993-01-31,47646.00649879835,0.04233604219935285
1993-02-28,49663.14984056212,0.016230358090532197
1993-03-31,50469.2005463782,0.023064960718483987
1993-04-30,51633.2706744737,-0.007280675276594393
1993-05-31,51257.345597224354,0.022462194839541608
1993-06-30,52408.69808098693,0.029790360358774026
1993-07-31,53969.97208275372,0.01931280981822003
1993-08-31,55012.28388948258,-0.004347803452507455
1993-09-30,54773.10129165757,0.024303412727227084
1993-10-31,56104.27457869894,-0.011673090403871718
1993-11-30,55449.364309498145,0.014077966170607364
1993-12-31,56229.97858442894,0.017831516516706197
1994-01-31,57232.644376291224,-0.029606707824586888
1994-02-28,55538.174196213884,-0.03818087545315072
1994-03-31,53417.67808433285,-0.014831219081940626
1994-04-30,52625.42879781553,-0.006375427880787629
1994-05-31,52289.919171819536,-0.035474630039969084
1994-06-30,50434.95363437935,0.01175287664725685
1994-07-31,51027.70942315433,0.01727851677121547
1994-08-31,51909.39255621901,-0.03791422360470157
1994-09-30,49941.28823965829,-0.0033842531581670097
1994-10-31,49772.2742772103,0.004462280404254053
1994-11-30,49994.372121392655,0.024302836948020483
