YEAR,AUS,AUT,BEL,CAN,CHE,CHL,COL,CRI,CZE,DEU,DNK,EA19,ESP,EST,FIN,FRA,GBR,GRC,HUN,IDN,IND,IRL,ISL,ISR,ITA,JPN,KOR,LTU,LUX,LVA,MEX,NLD,NOR,NZL,POL,PRT,RUS,SVK,SVN,SWE,USA,ZAF,ALL AVERAGE,STD-DEV,16 COUNTRIES AVERAGE,STD-DEV,NO JPN CHE AVERAGE,STD-DEV
1970,0.07108,,0.07808,0.07454,,,,,,0.09407,,,,,,0.08925,0.070191667,,,,,,,,,0.05804,,,,,,,,,,,,,,0.084375,0.07564,,0.08044,0.0091,0.08044,0.0091,0.08044,0.0091
1971,0.07008,,0.05004,0.04569,,,,,,0.07148,,,,,,0.06287,0.055791667,,,,,,,,,0.05168,,,,,,,,,,,,,,0.058541667,0.05005,,0.05837,0.01121,0.05837,0.01121,0.05837,0.01121
1972,0.05083,,0.03829,0.05098,,,,,,0.05611,,,,,,0.05507,0.05505,,,,,,,,,0.04153,,,,,,,,,,,,,,0.0375,0.04666,,0.04966,0.00651,0.04966,0.00651,0.04966,0.00651
1973,0.06983,,0.06288,0.07301,,,,,,0.12143,,,,,,0.09129,0.092933333,,,,,,,,,0.05803,,,,,,,,,,,,,,0.027916667,0.08416,,0.08377,0.02108,0.08377,0.02108,0.08377,0.02108
1974,0.13158,,0.10296,0.10554,0.10165,,,,,0.09903,,,,,,0.13019,0.113716667,,,,,,,,,0.06825,,,,,,,,0.104,,,,,,0.068541667,0.10244,,0.10967,0.01323,0.11049,0.01407,0.11196,0.01482
1975,0.08525,,0.06796,0.08024,0.04065,,,,,0.04959,,,,,,0.07923,0.101734833,,,,,,,,,0.05677,,,,,,,,0.08288,,,,,,0.072916667,0.06437,,0.06877,0.01643,0.06675,0.01665,0.07111,0.01317
1976,0.0924,,0.09892,0.09277,0.01525,,,,,0.04248,0.1414,,,,,0.0869,0.111561083,,,,,,,,,0.05677,,,,,,0.0584,,0.08406,,,,,,0.065,0.05268,,0.07068,0.03021,0.06877,0.03211,0.07769,0.02385
1977,0.10213,,0.07054,0.07493,0.02589,,,,,0.04365,0.1712,,0.15522,,,0.09216,0.076580083,,,,,,,,,0.04153,,,,,,0.045,,0.13693,,,,,,0.094166667,0.05641,,0.08421,0.04228,0.07762,0.03995,0.08501,0.03677
1978,0.09843,,0.07129,0.08714,0.00732,,,,,0.037,0.171,,0.17591,,,0.08157,0.0924,,,,,,,,,0.03393,,,,,,0.0939,,0.10976,,,,,,0.06625,0.08222,,0.0843,0.04429,0.08147,0.04601,0.09074,0.03919
1979,0.09773,,0.11013,0.11961,0.01784,,,,,0.06687,0.1782,,0.1552,,,0.09483,0.13685,,,,,,,,0.11769,0.05677,,,,,,0.138,0.10717,0.14627,,,,,,0.067916667,0.11225,,0.10687,0.03676,0.10329,0.03629,0.11183,0.02389
1980,0.12028,,0.14029,0.13129,0.0577,,,,,0.09537,0.1817,,0.16523,,,0.12209,0.1662,,,,,,,,0.16795,0.05932,,,,,,0.10125,0.12233,0.14367,,,,,,0.11575,0.13067,,0.13026,0.03152,0.12904,0.03276,0.13617,0.02389
1981,0.15038,,0.15271,0.18376,0.09095,,,,,0.12105,0.1887,,0.16178,,,0.15259,0.13912,,,,,,,,0.19232,0.05423,,,,,,0.106841667,0.13125,0.15258,,,,,,0.125416667,0.15911,0.09723,0.14499,0.02947,0.14864,0.02818,0.15441,0.02181
1982,0.16834,,0.13971,0.14375,0.05058,,,,,0.08878,0.19655,,0.16282,,,0.14616,0.12288,,,,,,,,0.19905,0.05423,,,,,,0.081233333,0.15367,0.17008,,,,,,0.1325,0.12271,0.1558,0.13977,0.03666,0.13591,0.03828,0.14367,0.02859
1983,0.12199,,0.104,0.09466,0.04092,,,,,0.05777,0.147708333,,0.2005,,,0.12468,0.10128,,,,,,,,0.18309,0.04914,,,,,,0.054833333,0.133,0.13086,,,,,,0.11411,0.09067,0.13391,0.11653,0.04212,0.11389,0.0452,0.12052,0.04083
1984,0.121,,0.11421,0.11222,0.04349,,,,,0.05986,0.130308333,,0.14898,,,0.11703,0.09944,,,,,0.13231,,,0.17268,0.04914,,,,,,0.059691667,0.13017,0.15023,,,,,,0.11931,0.10365,0.19307,0.12118,0.03814,0.11184,0.03462,0.11805,0.02844
1985,0.15983,,0.09517,0.09596,0.04924,,,,,0.05448,0.107833333,,0.12224,,,0.09943,0.12243,,,,,0.11925,,,0.15247,0.02888,,,,,,0.062258333,0.12525,0.23305,,,,,,0.14174,0.08048,0.17721,0.12188,0.04753,0.10823,0.03563,0.11359,0.03189
1986,0.16452,,0.08083,0.09188,0.04218,,0.31362,,,0.04635,0.0959,,0.11658,,,0.0771,0.10943,,,,,0.12521,,,0.13393,0.02888,,,,,,0.05682,0.14392,0.19075,,0.15563,,,,0.09831,0.06518,0.10518,0.11763,0.06412,0.09439,0.03814,0.09874,0.03631
1987,0.1375,,0.07054,0.0841,0.03775,,0.3079,,,0.04033,0.10108,,0.15822,,0.10033,0.08269,0.09698,,,,,0.10833,,,0.11334,0.02384,,,,,,0.05359,0.14713,0.2111,,,,,,0.09391,0.06861,0.08785,0.11059,0.06363,0.09184,0.03753,0.096,0.03554
1988,0.128,,0.06729,0.0961,0.0308,,0.33459,,,0.04331,0.08542,,0.1165,,0.09966,0.07942,0.10329,,,,,0.08046,0.31025,,0.10818,0.02384,,,,,,0.04817,0.1351,0.15393,,0.12968,,,,0.10083,0.07728,0.12243,0.1167,0.07528,0.08712,0.03159,0.09145,0.02822
1989,0.17612,,0.088,0.12177,0.07318,,0.33728,,,0.07118,0.09726,,0.15036,,0.12557,0.09399,0.13886,,,,,0.10035,0.27883,,0.1262,0.03646,,,,,,0.07388,0.11379,0.13539,,0.14827,,,,0.11499,0.09085,0.16934,0.13455,0.06564,0.10932,0.03126,0.1121,0.03068
1990,0.14543,0.08964,0.09633,0.13021,0.08918,,0.36441,,,0.08488,0.11051,,0.15152,,0.13997,0.10321,0.14769,,,,,0.11307,0.14833,,0.1223,0.0555,,,,,,0.08683,0.11539,0.13893,,0.16903,,,,0.13668,0.08148,0.17806,0.13378,0.05871,0.11275,0.02486,0.11444,0.02489
1991,0.10226,0.09463,0.09383,0.0911,0.08214,,0.37225,,,0.09247,0.09868,,0.13227,,0.13079,0.09615,0.11522,,0.34483,,,0.10428,0.14642,,0.12208,0.04914,0.18301,,,,,0.09282,0.10564,0.09966,,0.17738,,,,0.11593,0.05835,0.16689,0.13413,0.07546,0.09957,0.01767,0.10082,0.01765
1992,0.06466,0.0946,0.09371,0.06677,0.07854,,0.26672,,,0.09518,0.11691,,0.13342,,0.13252,0.10345,0.09622,,0.22725,,,0.14318,0.10498,0.1187,0.14013,0.03141,0.16413,,,,,0.09353,0.11833,0.0673,0.45475,0.16706,,,,0.12858,0.03682,0.13771,0.1325,0.08195,0.09739,0.02807,0.09873,0.02862
1993,0.05152,0.07023,0.08224,0.05103,0.04906,,0.25833,,0.1315,0.07295,0.10855,,0.11688,,0.07773,0.08587,0.0594,,0.17217,,,0.09119,0.08783,0.11092,0.10199,0.01629,0.12962,,,,,0.06854,0.07265,0.0633,0.34875,0.13245,,,,0.08352,0.03174,0.11322,0.10456,0.06651,0.07375,0.02363,0.07551,0.02347
1994,0.05657,0.05118,0.05695,0.05488,0.04189,,0.29416,,0.09108,0.05364,0.06302,0.06525,0.08009,,0.0535,0.05847,0.05503,,0.26933,,,0.0593,0.04892,0.12803,0.08508,0.01629,0.13288,,,,,0.05177,0.05851,0.06735,0.31757,0.11107,,,,0.07401,0.04629,0.10922,0.09411,0.07469,0.05916,0.01197,0.06039,0.01139
1995,0.07726,0.04568,0.04783,0.07131,0.02948,,0.32338,,0.10946,0.04532,0.06207,0.0682,0.09355,,0.0575,0.06578,0.06681,0.16404,0.32042,,,0.06248,0.07004,0.14704,0.10457,0.00374,0.14054,,,,,0.04373,0.05478,0.09008,0.2769,0.09787,,,,0.08746,0.05917,0.13528,0.10407,0.07783,0.06365,0.02065,0.06609,0.01905
1996,0.07152,0.03373,0.03217,0.04449,0.0202,,0.31138,,0.12015,0.03305,0.03979,0.05088,0.07495,0.08047,0.03625,0.03936,0.06025,0.13782,0.23958,,,0.05418,0.06992,0.15667,0.0882,0.00374,0.12634,,,,,0.02998,0.04893,0.09301,0.21333,0.07367,,0.11515,,0.0579,0.0539,0.15037,0.08895,0.06761,0.04856,0.01909,0.05059,0.01807
