YEAR,AUS,AUT,BEL,CAN,DNK,FRA,DEU,ITA,JPN,NLD,NOR,SGD,ESP,SWE,CHE,GBR,USA,ALL AVERAGE,STD-DEV,16 COUNTRIES AVERAGE,STD-DEV,NO JPN CHE AVERAGE,STD-DEV
1970,0.0665,0.0781,0.0771,0.0791,0.1057,0.0812,0.083,0.0901,0.0719,0.0822,0.0629,,,0.0739,0.0582,0.0922,0.0735,0.0784,0.0119,0.0784,0.0119,0.0783,0.0085
1971,0.0671,0.0771,0.0729,0.0695,0.1067,0.0779,0.0798,0.0834,0.0728,0.0735,0.064,,,0.0723,0.0527,0.089,0.0616,0.0747,0.0126,0.0747,0.0126,0.074,0.008
1972,0.0583,0.0736,0.0696,0.0723,0.1037,0.0742,0.0786,0.0747,0.0669,0.0688,0.0627,,,0.0729,0.0497,0.089,0.0621,0.0718,0.0127,0.0718,0.0127,0.0714,0.0082
1973,0.0693,0.0825,0.0735,0.0756,0.1107,0.0833,0.0931,0.0742,0.0726,0.0792,0.0619,,,0.0738,0.056,0.1071,0.0684,0.0788,0.0151,0.0788,0.0151,0.0785,0.0121
1974,0.0904,0.0974,0.0857,0.089,0.1455,0.1056,0.1037,0.0987,0.0926,0.0982,0.071,,,0.0778,0.0715,0.1477,0.0756,0.0967,0.0231,0.0967,0.0231,0.0951,0.02
1975,0.0974,0.0961,0.0844,0.0904,0.131,0.0964,0.0847,0.1154,0.092,0.0879,0.0729,,,0.0879,0.0644,0.1439,0.0799,0.095,0.0209,0.095,0.0209,0.0948,0.0188
1976,0.1003,0.0875,0.0894,0.0918,0.1321,0.0939,0.0779,0.1308,0.0872,0.0895,0.0725,,,0.0928,0.0499,0.1443,0.0761,0.0944,0.0246,0.0944,0.0246,0.0956,0.0214
1977,0.1023,0.0874,0.087,0.087,0.1337,0.0994,0.0615,0.1462,0.0733,0.081,0.0739,,,0.0974,0.0405,0.1273,0.0742,0.0915,0.0279,0.0915,0.0279,0.0937,0.0235
1978,0.0906,0.0821,0.0835,0.0927,0.1454,0.0957,0.0572,0.137,0.0609,0.0774,0.0845,,,0.1009,0.0333,0.1247,0.0841,0.09,0.0294,0.09,0.0294,0.0925,0.0211
1979,0.0975,0.0796,0.094,0.1021,0.1582,0.0988,0.0741,0.1405,0.0769,0.0877,0.0859,,0.1331,0.1047,0.0345,0.1299,0.0944,0.0995,0.0299,0.0995,0.0299,0.1017,0.0207
1980,0.1165,0.0924,0.119,0.1248,0.1766,0.1313,0.0849,0.1525,0.0921,0.1021,0.1027,,0.1596,0.1174,0.0477,0.1379,0.1146,0.117,0.0314,0.117,0.0314,0.1197,0.0219
1981,0.1396,0.1061,0.1344,0.1522,0.1892,0.1585,0.1011,0.1936,0.0866,0.1155,0.1231,,0.1581,0.1349,0.0557,0.1474,0.1391,0.1334,0.0356,0.1334,0.0356,0.1387,0.0247
1982,0.1538,0.0992,0.1343,0.1426,0.2038,0.1565,0.0897,0.2022,0.0805,0.101,0.132,,0.1599,0.1304,0.0483,0.1288,0.13,0.1308,0.0413,0.1308,0.0413,0.1354,0.0297
