Short,Long
0.0635,0.0532
0.0781,0.0536
0.0835,0.0558
0.0686,0.0547
0.0496,0.0507
0.0533,0.0459
0.0503,0.0445
0.049,0.0434
0.0425,0.0422
0.051,0.0402
0.0479,0.037
0.0526,0.0362
0.0535,0.0363
0.0565,0.0362
0.0422,0.0352
0.0426,0.0337
0.0611,0.0352
0.0502,0.0367
0.0468,0.0345
0.0541,0.0342
0.0597,0.0362
0.0393,0.036
0.0852,0.0375
0.0332,0.037
0.0309,0.0346
0.0576,0.036
0.0344,0.034
0.0355,0.0335
0.0336,0.031
0.0464,0.0315
0.043,0.031
0.0472,0.0318
0.055,0.033
0.0434,0.034
0.0417,0.0348
0.0547,0.0343
0.0623,0.0367
0.0532,0.0387
0.0365,0.0376
0.0526,0.0391
0.04,0.0398
0.0435,0.0401
0.0565,0.0445
0.0464,0.0416
0.0365,0.0424
0.0364,0.0405
0.0425,0.0423
0.0598,0.0457
0.0556,0.045
0.073,0.0497
0.0744,0.0509
0.0458,0.043
0.0496,0.0436
0.0434,0.0406
0.0387,0.0386
0.0428,0.0368
0.0426,0.0334
0.0464,0.0333
0.0601,0.036
0.0415,0.0329
0.0243,0.0334
0.0336,0.0368
0.0146,0.0331
0.0101,0.0312
0.0075,0.0279
0.0075,0.0265
0.0088,0.0268
0.0088,0.0256
0.0056,0.0236
0.0056,0.0221
0.0053,0.0195
0.0063,0.0246
0.0069,0.0247
0.0072,0.0248
0.0075,0.0237
0.0076,0.0219
0.0101,0.0225
0.0135,0.0244
0.0158,0.0231
0.0132,0.0232
0.0212,0.0257
0.0239,0.0268
0.0258,0.0283
0.0141,0.0248
0.0139,0.0261
0.0258,0.029
0.0337,0.0346
0.0265,0.0309
0.0336,0.0402
0.0503,0.0472
0.0281,0.0384
0.0328,0.0408
0.0304,0.0383
0.0379,0.0417
0.0394,0.0419
0.0488,0.0461
0.0475,0.0458
0.0543,0.0553
0.0634,0.0604
0.081,0.0779
0.0457,0.0624
0.0428,0.0595
0.0589,0.0646
0.0742,0.0699
0.0683,0.075
0.0581,0.0774
0.0529,0.0721
0.0728,0.0796
0.1041,0.091
0.1206,0.108
0.1408,0.1257
0.1432,0.1459
0.0862,0.1046
0.099,0.1167
0.0902,0.1138
0.0773,0.0919
0.0578,0.0708
0.0699,0.0867
0.0905,0.0909
0.0792,0.0821
0.0664,0.0809
0.0415,0.0703
0.035,0.066
0.0354,0.0575
0.0705,0.0778
0.0509,0.0565
0.0561,0.0658
0.0524,0.0554
0.0451,0.0472
0.0612,0.0666
0.0481,0.0516
0.0216,0.0504
0.0136,0.0405
0.0124,0.0415
0.0286,0.0422
0.0445,0.0442
0.0506,0.0476
0.0271,0.0374
0.0044,0.0252
0.0035,0.0373
0.0027,0.0339
0.0012,0.0197
0.0015,0.0191
0.0012,0.0286
0.002,0.0188
0.0054,0.0209
