Sim Number,length,returns,bequest,1-in-200,1st,5th,10th,50th
0,20,Historical 100,0,0.025655,0.029407,0.040487,0.048025,0.082913
1,20,Historical 100,0.25,0.009697,0.014335,0.0297,0.038483,0.076798
2,20,Historical 100,0.5,-0.008887,-0.002004,0.018228,0.028497,0.070056
3,20,Historical 100,0.75,-0.027555,-0.018298,0.00624,0.018703,0.063953
4,20,Historical 100,1,-0.051447,-0.036953,-0.007675,0.007325,0.058382
5,20,Historical 60,0,0.037373,0.040547,0.049935,0.055116,0.077556
6,20,Historical 60,0.25,0.025911,0.029239,0.0399,0.046061,0.070137
7,20,Historical 60,0.5,0.012075,0.017431,0.030082,0.036786,0.063173
8,20,Historical 60,0.75,-0.000486,0.004976,0.019531,0.027561,0.056725
9,20,Historical 60,1,-0.016623,-0.010488,0.008286,0.017459,0.049571
10,20,Historical 0,0,0.045461,0.046902,0.051034,0.053194,0.061536
11,20,Historical 0,0.25,0.033901,0.035567,0.039939,0.04253,0.051811
12,20,Historical 0,0.5,0.021818,0.023588,0.028587,0.031588,0.042224
13,20,Historical 0,0.75,0.008458,0.010638,0.016769,0.02027,0.032462
14,20,Historical 0,1,-0.004437,-0.001882,0.005161,0.009053,0.022634
15,20,Conservative 100,0,0.019771,0.023294,0.034577,0.042556,0.079289
16,20,Conservative 100,0.25,0.001726,0.007825,0.0229,0.032044,0.072652
17,20,Conservative 100,0.5,-0.021454,-0.011808,0.010426,0.021585,0.066154
18,20,Conservative 100,0.75,-0.044995,-0.032823,-0.004105,0.009824,0.059605
19,20,Conservative 100,1,-0.068991,-0.053634,-0.017397,-0.001772,0.053194
20,20,Conservative 60,0,0.03152,0.034079,0.043189,0.049067,0.073859
21,20,Conservative 60,0.25,0.017174,0.020946,0.032327,0.038835,0.066286
22,20,Conservative 60,0.5,0.001122,0.006791,0.020996,0.02938,0.059437
23,20,Conservative 60,0.75,-0.015086,-0.009643,0.009036,0.018381,0.052153
24,20,Conservative 60,1,-0.034246,-0.026424,-0.004244,0.006778,0.044681
25,20,Conservative 0,0,0.037997,0.039387,0.044554,0.047505,0.058733
