Date,P,D,CPI,,,,,,
1871.01,4.44,0.26,12.46,,,,,,
1871.02,4.50,0.26,12.84,,,,,,
1871.03,4.61,0.26,13.03,,,,,,
1871.04,4.74,0.26,12.56,,,,,,
1871.05,4.86,0.26,12.27,,,,,,
1871.06,4.82,0.26,12.08,,,,,,
1871.07,4.73,0.26,12.08,,,,,,
1871.08,4.79,0.26,11.89,,,,,,
1871.09,4.84,0.26,12.18,,,,,,
1871.1,4.59,0.26,12.37,,,,,,
1871.11,4.64,0.26,12.37,,,,,,
1871.12,4.74,0.26,12.65,,,,,,
1872.01,4.86,0.26,12.65,,,,,,
1872.02,4.88,0.27,12.65,,,,,,
1872.03,5.04,0.27,12.84,,,,,,
1872.04,5.18,0.27,13.13,,,,,,
1872.05,5.18,0.28,13.13,,,,,,
1872.06,5.13,0.28,13.03,,,,,,
1872.07,5.10,0.28,12.84,,,,,,
1872.08,5.04,0.29,12.94,,,,,,
1872.09,4.95,0.29,13.03,,,,,,
1872.1,4.97,0.29,12.75,,,,,,
1872.11,4.95,0.30,13.13,,,,,,
1872.12,5.07,0.30,12.94,,,,,,
1873.01,5.11,0.30,12.94,,,,,,
1873.02,5.15,0.31,13.23,,,,,,
1873.03,5.11,0.31,13.23,,,,,,
1873.04,5.04,0.31,13.23,,,,,,
1873.05,5.05,0.31,12.94,,,,,,
1873.06,4.98,0.32,12.56,,,,,,
1873.07,4.97,0.32,12.56,,,,,,
1873.08,4.97,0.32,12.56,,,,,,
1873.09,4.59,0.32,12.56,,,,,,
1873.1,4.19,0.33,12.27,,,,,,
1873.11,4.04,0.33,11.89,,,,,,
1873.12,4.42,0.33,12.18,,,,,,
1874.01,4.66,0.33,12.37,,,,,,
1874.02,4.80,0.33,12.37,,,,,,
1874.03,4.73,0.33,12.37,,,,,,
1874.04,4.60,0.33,12.18,,,,,,
1874.05,4.48,0.33,12.08,,,,,,
1874.06,4.46,0.33,11.80,,,,,,
1874.07,4.46,0.33,11.89,,,,,,
1874.08,4.47,0.33,11.80,,,,,,
1874.09,4.54,0.33,11.80,,,,,,
1874.1,4.53,0.33,11.61,,,,,,
1874.11,4.57,0.33,11.51,,,,,,
1874.12,4.54,0.33,11.51,,,,,,
1875.01,4.54,0.33,11.51,,,,,,
1875.02,4.53,0.33,11.51,,,,,,
1875.03,4.59,0.32,11.51,,,,,,
1875.04,4.65,0.32,11.61,,,,,,
1875.05,4.47,0.32,11.32,,,,,,
1875.06,4.38,0.32,11.13,,,,,,
1875.07,4.39,0.31,11.13,,,,,,
1875.08,4.41,0.31,11.23,,,,,,
1875.09,4.37,0.31,11.13,,,,,,
1875.1,4.30,0.31,11.13,,,,,,
1875.11,4.37,0.30,11.04,,,,,,
1875.12,4.37,0.30,10.94,,,,,,
1876.01,4.46,0.30,10.85,,,,,,
1876.02,4.52,0.30,10.85,,,,,,
1876.03,4.51,0.30,10.85,,,,,,
