Date,S&P Price,S&P Dividend,S&P Earnings,CPI,Long Rate,Real Price,Real Dividend,Real Earnings,CAPE10,Mean,Median
1871.01,4.44,0.26,0.4,12.46,5.32,85.84,5.03,7.73,NA,,
1871.02,4.5,0.26,0.4,12.84,5.32,84.42,4.88,7.5,NA,,
1871.03,4.61,0.26,0.4,13.03,5.33,85.22,4.81,7.39,NA,,
1871.04,4.74,0.26,0.4,12.56,5.33,90.94,4.99,7.67,NA,,
1871.05,4.86,0.26,0.4,12.27,5.33,95.41,5.1,7.85,NA,,
1871.06,4.82,0.26,0.4,12.08,5.34,96.12,5.18,7.98,NA,,
1871.07,4.73,0.26,0.4,12.08,5.34,94.33,5.18,7.98,NA,,
1871.08,4.79,0.26,0.4,11.89,5.34,97.05,5.27,8.1,NA,,
1871.09,4.84,0.26,0.4,12.18,5.35,95.76,5.14,7.91,NA,,
1871.1,4.59,0.26,0.4,12.37,5.35,89.42,5.07,7.79,NA,,
1871.11,4.64,0.26,0.4,12.37,5.35,90.4,5.07,7.79,NA,,
1871.12,4.74,0.26,0.4,12.65,5.36,90.26,4.95,7.62,NA,,
1872.01,4.86,0.26,0.4,12.65,5.36,92.55,5.01,7.66,NA,,
1872.02,4.88,0.27,0.41,12.65,5.38,92.93,5.08,7.71,NA,,
1872.03,5.04,0.27,0.41,12.84,5.4,94.55,5.07,7.64,NA,,
1872.04,5.18,0.27,0.41,13.13,5.42,95.06,5.02,7.52,NA,,
1872.05,5.18,0.28,0.41,13.13,5.43,95.06,5.08,7.57,NA,,
1872.06,5.13,0.28,0.42,13.03,5.45,94.83,5.18,7.67,NA,,
1872.07,5.1,0.28,0.42,12.84,5.47,95.68,5.31,7.83,NA,,
1872.08,5.04,0.29,0.42,12.94,5.49,93.86,5.34,7.82,NA,,
1872.09,4.95,0.29,0.42,13.03,5.51,91.51,5.36,7.81,NA,,
1872.1,4.97,0.29,0.43,12.75,5.53,93.93,5.54,8.03,NA,,
1872.11,4.95,0.3,0.43,13.13,5.54,90.84,5.45,7.85,NA,,
1872.12,5.07,0.3,0.43,12.94,5.56,94.41,5.59,8.01,NA,,
1873.01,5.11,0.3,0.43,12.94,5.58,95.16,5.63,8.05,NA,,
1873.02,5.15,0.31,0.44,13.23,5.57,93.83,5.56,7.93,NA,,
1873.03,5.11,0.31,0.44,13.23,5.56,93.11,5.6,7.97,NA,,
1873.04,5.04,0.31,0.44,13.23,5.55,91.83,5.65,8.02,NA,,
1873.05,5.05,0.31,0.44,12.94,5.54,94.04,5.82,8.24,NA,,
