Date,S&P Price,S&P Dividend,CPI,Real Price,Real Dividend,Bond Price,Bond Real,Bond Change,S&P TR
1871.01,4.44,0.26,12.46,85.84,5.03,50.26458333,972.0791214,,
1871.02,4.5,0.26,12.84,84.42,4.88,50.47777884,947.3114435,-2.55%,-1.17%
1871.03,4.61,0.26,13.03,85.22,4.81,50.69705454,937.5531191,-1.03%,1.43%
1871.04,4.74,0.26,12.56,90.94,4.99,50.92248105,976.9615837,4.20%,7.18%
1871.05,4.86,0.26,12.27,95.41,5.1,51.1541312,1004.601266,2.83%,5.37%
1871.06,4.82,0.26,12.08,96.12,5.18,51.39208002,1025.148621,2.05%,1.19%
1871.07,4.73,0.26,12.08,94.33,5.18,51.63640485,1030.022315,0.48%,-1.41%
1871.08,4.79,0.26,11.89,97.05,5.27,51.8871853,1051.564288,2.09%,3.34%
1871.09,4.84,0.26,12.18,95.76,5.14,52.14450336,1031.617778,-1.90%,-0.88%
1871.1,4.59,0.26,12.37,89.42,5.07,52.40844342,1020.913936,-1.04%,-6.17%
1871.11,4.64,0.26,12.37,90.4,5.07,52.6790923,1026.186163,0.52%,1.57%
1871.12,4.74,0.26,12.65,90.26,4.95,52.95653933,1008.757187,-1.70%,0.31%
1872.01,4.86,0.26,12.65,92.55,5.01,53.24087636,1014.173459,0.54%,2.99%
1872.02,4.88,0.27,12.65,92.93,5.08,53.56695986,1020.38495,0.61%,0.86%
1872.03,5.04,0.27,12.84,94.55,5.07,53.89705749,1011.480705,-0.87%,2.20%
1872.04,5.18,0.27,13.13,95.06,5.02,54.23121871,995.2729686,-1.60%,0.99%
1872.05,5.18,0.28,13.13,95.06,5.08,54.5694937,1001.481126,0.62%,0.44%
1872.06,5.13,0.28,13.03,94.83,5.18,54.91193344,1015.499913,1.40%,0.20%
1872.07,5.1,0.28,12.84,95.68,5.31,55.2585897,1037.032444,2.12%,1.35%
1872.08,5.04,0.29,12.94,93.86,5.34,55.60951502,1035.553169,-0.14%,-1.44%
1872.09,4.95,0.29,13.03,91.51,5.36,55.96476278,1034.970145,-0.06%,-2.03%
1872.1,4.97,0.29,12.75,93.93,5.54,56.32438717,1064.495577,2.85%,3.13%
1872.11,4.95,0.3,13.13,90.84,5.45,56.68844323,1040.368934,-2.27%,-2.80%
1872.12,5.07,0.3,12.94,94.41,5.59,57.05698685,1062.507801,2.13%,4.43%
1873.01,5.11,0.3,12.94,95.16,5.63,57.43007477,1069.455396,0.65%,1.29%
1873.02,5.15,0.31,13.23,93.83,5.56,57.89028744,1054.39523,-1.41%,-0.90%
1873.03,5.11,0.31,13.23,93.11,5.6,58.34826527,1062.736692,0.79%,-0.27%
1873.04,5.04,0.31,13.23,91.83,5.65,58.8038968,1071.035419,0.78%,-0.87%
1873.05,5.05,0.31,12.94,94.04,5.82,59.25707037,1103.477471,3.03%,2.92%
1873.06,4.98,0.32,12.56,95.55,6.04,59.70767424,1145.507893,3.81%,2.12%
1873.07,4.97,0.32,12.56,95.36,6.09,60.15559656,1154.101404,0.75%,0.33%
1873.08,4.97,0.32,12.56,95.36,6.14,60.60072545,1162.641322,0.74%,0.53%
1873.09,4.59,0.32,12.56,88.07,6.19,61.04294904,1171.125502,0.73%,-7.11%
1873.1,4.19,0.33,12.27,82.26,6.38,61.48215553,1207.430365,3.10%,-6.01%
1873.11,4.04,0.33,11.89,81.85,6.64,61.91823322,1254.857099,3.93%,0.15%
1873.12,4.42,0.33,12.18,87.45,6.53,62.35107053,1233.542727,-1.70%,7.52%
1874.01,4.66,0.33,12.37,90.78,6.43,62.78055612,1222.962188,-0.86%,4.43%
1874.02,4.8,0.33,12.37,93.51,6.43,63.2250764,1231.621421,0.71%,3.60%
1874.03,4.73,0.33,12.37,92.15,6.43,63.66452483,1240.181856,0.70%,-0.88%
1874.04,4.6,0.33,12.18,91.02,6.53,64.09875162,1268.118545,2.25%,-0.64%
1874.05,4.48,0.33,12.08,89.34,6.58,64.52760793,1287.170869,1.50%,-1.25%
1874.06,4.46,0.33,11.8,91.09,6.74,64.95094601,1326.358865,3.04%,2.57%
1874.07,4.46,0.33,11.89,90.36,6.69,65.36861925,1324.783858,-0.12%,-0.18%
1874.08,4.47,0.33,11.8,91.3,6.74,65.78048229,1343.298769,1.40%,1.66%
1874.09,4.54,0.33,11.8,92.73,6.74,66.18639109,1351.587805,0.62%,2.18%
1874.1,4.53,0.33,11.61,94.04,6.85,66.58620299,1382.004959,2.25%,2.02%
1874.11,4.57,0.33,11.51,95.65,6.91,66.97977685,1402.251598,1.47%,2.32%
