Year,LCB,LCG,LCV,MCB,MCG,MCV,SCB,SCG,SCV
1927,34.94,45.42,22.14,32.85,41.21,23.28,35.68,38.92,32.20
1928,39.20,47.78,31.83,36.13,42.98,30.10,40.66,53.99,29.20
1929,-7.77,-19.65,1.55,-12.43,-22.12,-4.69,-25.43,-31.69,-19.62
1930,-25.87,-25.38,-26.41,-35.77,-34.32,-37.38,-35.69,-32.87,-38.60
1931,-42.22,-37.69,-45.75,-49.63,-40.69,-56.61,-46.03,-39.20,-52.14
1932,-6.75,-14.69,-1.80,-2.39,-17.27,13.10,-4.78,-5.69,-3.87
1933,49.76,31.65,76.64,74.83,56.22,87.65,107.06,92.05,120.39
1934,1.51,9.03,-7.57,5.19,11.72,-2.15,13.85,20.02,8.94
1935,46.60,46.87,46.32,49.18,38.89,62.10,42.18,44.29,40.11
1936,31.40,25.32,37.72,29.86,25.62,34.80,41.56,25.47,57.01
1937,-32.27,-34.21,-30.06,-37.77,-35.32,-40.53,-45.04,-43.38,-46.61
1938,29.47,35.12,24.19,33.49,40.71,25.36,40.18,45.45,35.50
1939,0.68,5.91,-5.26,-6.33,-7.37,-5.13,-1.01,2.89,-5.47
1940,-8.27,-9.36,-7.23,-10.00,-9.55,-10.53,-5.25,-5.36,-5.12
1941,-11.09,-11.99,-10.28,-8.16,-9.03,-7.04,-9.48,-13.59,-5.78
1942,16.05,17.44,14.73,23.47,16.34,30.76,20.61,17.01,24.09
1943,24.04,17.50,29.69,32.17,24.04,41.22,48.01,33.94,60.42
1944,19.68,16.83,22.14,26.96,20.52,33.29,37.02,30.30,43.78
1945,35.32,32.09,38.28,49.83,41.92,59.06,60.27,57.54,62.80
1946,-5.06,-7.84,-2.38,-4.79,-3.45,-6.07,-8.77,-8.93,-8.59
1947,4.34,4.30,4.39,0.89,0.55,1.23,1.62,-0.84,4.19
1948,2.96,3.49,2.46,1.47,0.66,2.39,-3.38,-4.09,-2.63
1949,20.72,26.01,15.32,24.53,24.28,24.81,22.07,24.97,19.02
1950,28.95,24.58,33.11,31.49,21.10,42.51,35.68,21.66,49.60
1951,24.03,21.26,26.71,21.14,22.23,19.82,15.81,19.56,11.64
1952,14.94,13.31,16.83,13.12,12.25,14.07,11.36,11.01,11.75
1953,0.86,3.64,-1.84,1.06,4.07,-2.41,-1.36,1.21,-4.02
1954,49.94,48.20,51.75,53.87,42.76,66.95,55.26,47.08,63.01
1955,27.28,28.68,25.68,18.42,18.70,18.09,20.66,20.29,21.10
1956,8.32,4.23,11.73,9.42,10.85,7.92,8.32,7.53,9.16
1957,-9.21,-8.37,-10.30,-9.78,-9.88,-9.65,-12.97,-11.96,-13.90
1958,44.33,41.40,48.52,51.02,49.12,53.65,59.42,53.08,66.54
1959,13.33,17.92,8.26,11.53,9.44,13.59,17.96,17.11,18.89
1960,2.28,-1.31,6.22,6.41,12.60,0.97,-0.73,3.98,-5.75
1961,26.09,23.36,28.25,25.93,24.17,27.70,29.21,28.00,30.48
1962,-8.09,-11.24,-4.61,-9.92,-12.98,-6.98,-13.02,-15.57,-10.53
1963,22.05,22.57,21.53,19.21,14.83,23.84,16.66,9.01,24.61
1964,15.97,16.81,15.13,16.25,15.82,16.67,18.73,12.91,23.99
1965,11.64,16.13,6.56,21.73,19.51,24.19,30.40,27.65,33.55
1966,-9.04,-10.81,-7.29,-3.39,-3.47,-3.32,-6.34,-5.08,-7.60
1967,21.49,30.46,13.89,28.41,29.42,27.52,54.05,52.84,55.19
1968,11.32,5.38,18.72,19.98,13.60,27.80,30.15,25.11,35.35
1969,-8.73,0.83,-17.95,-12.89,-7.22,-18.03,-20.45,-20.23,-20.68
1970,1.43,-5.99,8.11,1.39,-5.76,8.37,-4.20,-12.04,3.43
1971,16.87,24.51,8.09,22.27,29.05,16.23,22.70,28.95,16.82
1972,18.87,23.22,15.12,7.75,4.12,11.55,8.78,6.61,10.99
1973,-16.02,-23.20,-9.64,-23.52,-32.89,-13.40,-32.28,-39.90,-24.43
1974,-27.02,-32.45,-21.21,-26.26,-32.71,-19.82,-27.46,-33.80,-21.16
1975,36.88,32.96,40.88,48.74,41.66,57.09,54.96,56.50,53.33
